anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo
2022,7,20,7,11,18.4,L,-54.626,-66.374,14.3,3,0.1,307,2.9,0
2022,7,22,18,51,40.5,R,-57.977,-63.805,0.0,4,0.6,285,3.6,0
2022,7,22,22,51,42.0,L,-54.62,-69.47,1.6,4,0.2,229,2.6,0
2022,7,22,22,53,12.1,L,-54.566,-69.466,8.3,3,0.5,224,2.7,0
2022,8,1,20,21,22.0,L,-54.516,-69.639,10.0,3,0.3,226,2.3,0
2022,8,4,10,31,1.1,L,-54.564,-69.522,11.6,4,0.1,226,2.1,0
2022,8,5,7,42,35.9,L,-54.48,-69.56,6.1,4,0.2,220,2.1,0
2022,8,5,18,20,53.5,L,-54.656,-66.837,15.7,3,0.1,290,1.5,0
2022,8,7,15,7,58.2,L,-53.367,-66.869,18.6,4,0.1,260,2.0,0
2022,8,7,18,43,15.0,L,-54.455,-69.614,5.2,3,0.1,220,1.8,0
2022,8,8,10,24,36.5,L,-52.737,-66.701,32.1,3,0.3,283,2.2,0
2022,8,9,18,15,47.0,R,-54.859,-69.643,16.7,3,0.0,251,2.3,0
2022,8,13,6,7,31.4,R,-54.917,-69.645,29.2,3,0.0,255,2.4,0
2022,8,18,3,45,19.5,R,-54.325,-54.445,7.1,7,0.4,301,4.1,1
2022,8,22,20,35,12.2,R,-58.231,-61.649,0.7,5,0.7,289,3.6,0
2022,8,23,0,35,18.1,R,-52.424,-72.721,4.5,7,0.3,240,4.2,1
2022,8,23,5,4,43.1,R,-52.442,-71.744,20.7,9,1.0,163,3.4,0
2022,8,24,17,53,41.9,R,-52.4,-71.538,14.5,7,0.7,138,3.2,0
2022,8,24,20,27,26.2,R,-52.482,-71.857,18.5,7,0.7,179,2.9,0
2022,8,30,14,32,14.9,R,-52.369,-71.513,11.2,9,0.9,134,3.8,0
2022,8,30,14,41,34.5,L,-54.398,-69.021,5.8,2,0.7,298,2.0,0
2022,8,31,22,29,21.4,L,-54.709,-69.988,24.4,4,0.3,274,2.5,0
2022,9,5,20,20,46.7,L,-52.687,-71.002,0.0,6,0.4,138,3.1,0
2022,9,6,3,13,22.7,L,-54.362,-65.588,0.0,5,0.5,299,2.7,0
2022,9,9,20,57,14.1,R,-52.303,-71.315,6.8,8,0.6,152,3.3,0
2022,9,23,17,45,17.2,R,-54.095,-63.325,28.0,4,0.3,339,3.0,0
2022,9,25,13,16,34.5,R,-53.581,-56.513,32.0,5,0.5,283,3.5,0
2022,10,2,21,45,58.7,R,-56.687,-54.109,5.0,8,1.3,347,3.7,0
2022,10,19,5,54,41.6,L,-52.394,-71.845,0.0,6,2.7,170,3.2,0
2022,11,8,7,34,26.6,R,-57.748,-66.891,0.0,5,0.3,287,3.1,0
2022,11,14,9,48,44.4,L,-54.83,-69.776,32.1,3,0.3,253,2.2,0
2022,11,14,16,50,58.0,R,-56.559,-69.964,11.0,3,0.3,314,2.6,0
2022,11,16,15,18,38.3,R,-57.283,-65.779,13.5,4,0.2,278,3.0,0
2022,12,20,19,42,57.0,L,-54.5,-69.598,28.9,4,0.1,223,2.4,0
2023,1,6,5,9,43.4,L,-54.937,-68.2,10.1,3,0.0,246,2.4,0
2023,1,7,10,36,30.9,R,-52.365,-71.51,9.1,8,0.5,134,3.5,0
2023,1,12,3,0,14.0,R,-57.214,-67.369,0.0,5,0.2,283,2.7,0
2023,1,14,4,3,43.4,R,-56.995,-67.348,0.0,5,0.4,280,2.7,0
2023,1,18,18,32,45.7,R,-52.589,-66.455,27.7,4,0.4,203,2.6,0
2023,1,31,7,17,52.4,L,-54.654,-67.333,11.2,2,0.0,337,1.4,0
2023,2,11,13,42,17.8,R,-54.656,-69.778,20.8,4,1.3,230,2.5,0
2023,2,13,4,19,60.0,R,-54.141,-64.552,2.2,4,0.1,311,2.6,0
2023,2,20,11,20,38.4,R,-57.353,-66.579,31.8,5,0.4,336,3.2,0
2023,3,29,11,49,34.1,L,-54.585,-67.285,16.2,3,0.1,232,2.0,0
2023,4,2,11,54,50.3,L,-53.743,-66.822,21.0,7,0.3,147,3.9,0
2023,4,16,0,6,52.6,L,-53.792,-70.771,7.0,9,0.8,210,3.8,0
2023,5,9,12,1,1.2,L,-54.603,-68.076,6.1,3,0.1,174,2.0,0
2023,5,10,18,40,11.4,L,-54.647,-68.354,11.4,3,1.1,271,2.3,0
2023,5,11,22,39,39.0,R,-53.753,-63.03,18.5,5,0.7,191,3.2,0
2023,5,20,7,34,10.0,R,-57.01,-69.074,0.4,3,0.1,345,4.5,1
2023,5,20,8,4,49.5,R,-56.966,-68.463,25.7,3,0.1,346,3.5,0
2023,5,20,9,17,30.9,R,-56.866,-68.365,28.6,3,0.2,346,3.4,0
2023,5,20,10,13,5.5,R,-56.764,-68.928,9.4,3,0.3,344,2.9,0
2023,5,20,10,31,14.4,R,-56.854,-68.351,23.1,3,0.1,346,2.9,0
2023,5,21,1,51,5.8,R,-57.135,-69.104,0.0,3,0.2,346,3.4,0
2023,5,21,20,37,30.2,R,-56.853,-69.181,2.7,3,0.3,344,3.1,0
2023,5,30,4,35,2.6,R,-56.891,-69.519,13.0,5,0.4,314,4.3,1
2023,5,30,11,30,4.5,R,-57.485,-67.027,32.8,7,0.8,336,3.1,0
2023,6,12,21,19,8.6,R,-54.846,-69.807,15.1,3,0.0,264,2.8,0
2023,6,13,11,0,1.5,R,-54.522,-69.277,5.2,3,0.3,222,2.5,0
2023,6,13,11,29,46.2,R,-54.616,-69.314,19.5,4,0.4,233,2.3,0
2023,6,24,9,27,8.9,R,-56.849,-68.556,12.3,3,0.1,345,2.7,0
2023,6,25,13,54,12.9,R,-54.569,-68.272,13.9,2,0.0,180,1.7,0
2023,7,30,1,10,38.6,R,-55.03,-60.853,25.2,6,1.2,241,4.6,1
2023,7,30,17,2,35.2,R,-53.327,-62.269,0.8,5,1.2,182,3.8,0
2023,8,4,12,41,53.6,L,-54.367,-67.423,57.0,3,0.2,222,2.2,0
2023,8,10,6,45,34.3,R,-54.666,-69.306,7.7,3,0.3,295,2.3,0
2023,8,30,5,51,9.9,L,-54.738,-69.265,6.4,5,0.5,259,2.3,0
2023,9,7,23,37,31.0,R,-52.585,-72.7,10.0,7,0.4,239,3.1,0
2023,9,10,7,55,57.1,R,-54.728,-69.537,5.8,5,1.3,265,2.2,0
2023,9,11,11,3,40.5,R,-54.726,-69.362,9.5,5,0.1,261,2.3,0
2023,9,14,19,51,58.2,L,-54.428,-69.554,3.0,6,0.1,202,2.4,0
2023,10,16,9,32,30.0,L,-54.658,-67.223,13.5,3,0.0,262,2.4,0
2023,10,30,21,1,44.1,R,-50.758,-74.402,10.8,6,0.2,317,3.7,0
2023,11,26,12,21,46.9,R,-53.452,-62.805,3.1,5,0.5,323,3.5,0
2023,11,26,14,36,51.9,R,-54.151,-61.172,12.9,5,0.5,333,3.4,0
2023,11,27,6,40,22.9,R,-53.495,-68.641,3.4,3,0.2,257,2.2,0
2024,1,13,16,28,58.9,R,-54.736,-58.424,4.8,7,0.6,263,3.7,0
2024,2,7,1,41,59.6,L,-54.616,-69.053,7.2,4,0.4,218,2.3,0
2024,2,27,6,23,60.0,L,-56.027,-71.073,20.0,7,0.5,289,2.8,0
