anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo,dist_ushuaia,dist_rio_grande,dist_tolhuin,distancia_min_km,percibido
2021,9,19,9,2,40.9,L,-54.367,-65.361,10.0,5,0.2,192,2.3,0,196.25894862683086,166.6843578654958,119.87303245280198,119.87303245280198,0
2021,9,19,11,12,50.6,R,-56.076,-68.712,30.7,4,0.2,305,2.3,0,144.18969186030125,262.7118550130067,198.23969168486832,144.18969186030125,0
2021,9,19,11,16,30.4,R,-55.786,-68.676,9.1,3,0.4,296,2.3,0,112.09139215125737,230.97014349784112,169.68982641274602,112.09139215125737,0
2021,9,19,12,30,17.6,R,-58.972,-62.661,10.0,6,0.6,295,3.2,0,577.4354643139122,655.705332970051,567.500388273315,567.500388273315,0
2021,9,19,19,43,34.6,L,-54.391,-65.303,1.9,5,0.3,194,2.8,0,199.20898137763496,171.1787292892513,123.21923997908426,123.21923997908426,0
2021,9,19,22,0,11.0,R,-54.343,-65.332,6.9,4,0.1,191,2.5,0,198.8000914242967,167.47361433655803,122.17560510876741,122.17560510876741,0
2021,9,22,10,3,24.5,R,-54.699,-69.604,0.0,3,0.3,239,2.3,0,84.5505360049633,159.81353514262017,157.23494048626307,84.5505360049633,0
2021,10,13,7,55,24.8,R,-50.098,-73.133,9.5,7,0.5,214,5.3,1,617.5779785957205,554.3330238228071,637.1741606726276,554.3330238228071,0
2021,11,14,9,38,10.8,R,-53.957,-63.004,10.0,7,0.2,194,4.0,1,356.8325094713253,310.02572385944535,279.9959472778655,279.9959472778655,0
2021,11,21,22,36,12.7,R,-53.609,-62.357,10.4,5,0.7,193,3.1,0,409.92919726623944,354.0016349149021,332.2309351218849,332.2309351218849,0
2021,12,8,4,37,3.6,L,-54.721,-69.46,6.0,6,0.5,224,3.1,0,75.02144314923723,154.29179967116622,148.31818369440535,75.02144314923723,0
2021,12,16,13,1,35.2,L,-54.701,-67.346,6.8,4,0.1,205,2.2,0,62.63517002469888,104.38399406555001,22.398241710462997,22.398241710462997,0
2021,12,17,8,59,56.1,R,-55.118,-73.324,32.1,5,0.1,300,3.0,0,323.48226495219933,392.981655091079,399.73485334342416,323.48226495219933,0
2021,12,18,0,56,49.1,R,-54.503,-60.114,3.3,6,0.6,237,3.0,0,529.311083185194,502.43196171510687,458.09140366102133,458.09140366102133,0
2021,12,18,2,8,55.2,R,-56.917,-68.664,11.9,3,0.1,346,2.7,0,236.57515022415708,353.5972209154773,282.3352208011875,236.57515022415708,0
2021,12,18,7,16,56.3,R,-57.323,-66.855,22.8,6,0.6,282,2.6,0,294.824890992821,397.2658840939747,312.6310616900984,294.824890992821,0
2021,12,22,5,4,57.5,R,-54.731,-67.311,6.5,3,0.0,301,1.3,0,64.33577355992365,108.16188183231135,24.612177764039867,24.612177764039867,0
2021,12,24,1,27,44.3,R,-55.026,-68.141,1.2,5,0.1,239,2.3,0,27.024065503892427,140.65659042459978,83.08367720673324,27.024065503892427,0
2021,12,25,11,19,51.1,R,-54.525,-60.902,32.3,6,0.6,229,2.9,0,478.34644302288143,452.0517702870126,406.9979358628454,406.9979358628454,0
2021,12,31,11,53,23.6,R,-54.837,-59.466,8.5,5,0.6,250,3.2,0,567.6897003856292,548.7367772807058,499.18929755709337,499.18929755709337,0
2022,1,15,19,45,34.7,R,-51.07,-72.347,22.0,9,0.7,244,3.5,0,496.2120031493001,436.8178123869979,517.936094135577,436.8178123869979,0
2022,2,6,8,9,51.1,L,-54.616,-67.465,14.2,6,0.2,162,2.3,0,57.84258174098748,93.56733206971548,20.686835916041524,20.686835916041524,0
2022,2,11,20,36,45.0,R,-58.034,-66.745,32.0,6,1.1,290,3.4,0,372.4899204780398,476.6018070039006,392.0830613475034,372.4899204780398,0
2022,2,12,2,45,17.1,R,-57.32,-66.586,2.9,6,0.5,281,3.1,0,300.0574246550449,399.5893941562148,313.87115749177445,300.0574246550449,0
2022,2,15,6,4,16.8,L,-54.68,-67.55,5.7,5,0.4,121,1.8,0,50.359914712212216,99.8643328435072,29.22157724208132,29.22157724208132,0
2022,2,19,21,14,57.8,L,-54.664,-67.456,5.3,2,0.0,186,0.9,0,56.680340532466836,98.9313690490722,23.415543358483696,23.415543358483696,0
2022,3,4,6,9,18.8,L,-54.581,-67.45,2.2,4,0.2,185,2.1,0,60.250886038464714,89.91134683802838,18.102600691457102,18.102600691457102,0
2022,3,17,8,20,16.3,R,-53.377,-62.215,24.5,4,0.7,187,3.0,0,428.60126987837276,366.66782306709024,350.4794228424617,350.4794228424617,0
2022,3,18,14,31,6.9,L,-54.564,-66.709,7.8,2,0.0,309,2.2,0,106.16278053969502,108.32437945821542,31.470109231853368,31.470109231853368,0
2022,3,20,4,51,40.8,L,-54.609,-67.514,6.1,3,0.1,160,1.7,0,55.20737894482104,92.3038089200645,23.13275769590528,23.13275769590528,0
2022,3,24,19,41,9.0,R,-58.298,-66.361,0.4,5,0.2,290,3.3,0,407.16329468501544,509.14402881349844,423.61241288723954,407.16329468501544,0
2022,3,28,16,30,26.0,R,-59.574,-65.399,0.0,4,0.5,345,3.4,0,559.5574171797732,659.6009017645476,573.0055952357743,559.5574171797732,0
2022,3,31,7,9,15.8,L,-54.693,-67.33,22.0,2,0.3,345,1.9,0,63.818166725126986,103.76118176339155,21.144057916463197,21.144057916463197,0
2022,3,31,7,14,4.7,L,-54.61,-67.364,16.1,2,0.2,208,1.7,0,64.18746785829543,94.26531914626273,14.979328884140667,14.979328884140667,0
2022,4,3,7,9,59.0,L,-54.787,-69.254,15.8,4,0.4,224,2.2,0,61.19115370082483,149.95812106091267,136.47225149865,61.19115370082483,0
2022,4,3,7,35,6.3,L,-54.883,-69.185,20.9,4,0.3,230,2.4,0,57.37807405409613,155.15720819033237,134.77694634683218,57.37807405409613,0
2022,4,6,14,44,19.3,L,-54.822,-69.226,6.0,3,0.1,240,2.1,0,59.38424828018668,151.64958507856488,135.5621888861282,59.38424828018668,0
2022,4,6,14,58,16.4,L,-54.822,-69.176,13.0,4,0.1,225,2.1,0,56.17207376046886,149.55181254445037,132.43896538706497,56.17207376046886,0
2022,4,20,11,6,25.6,R,-57.385,-50.986,1.1,4,1.1,318,4.1,1,1112.1497427462975,1124.4496558118274,1058.2680075913809,1058.2680075913809,0
2022,4,29,5,51,59.9,R,-56.787,-69.879,12.4,5,0.7,312,3.1,0,242.10038344135194,361.1950850988888,303.7316590661281,242.10038344135194,0
2022,5,2,8,23,26.3,L,-54.508,-69.714,9.5,4,0.0,216,2.1,0,96.76513100686451,153.56178168049024,163.4822879727642,96.76513100686451,0
2022,5,6,18,1,59.9,R,-57.245,-67.112,4.1,5,0.3,282,3.0,0,281.9639978288193,386.7531965540083,303.28353516094006,281.9639978288193,0
2022,5,13,3,50,8.8,L,-54.695,-67.07,0.0,4,0.0,278,2.4,0,80.28337011455221,109.25762866460144,20.814891625169263,20.814891625169263,0
2022,5,20,20,30,55.1,L,-54.796,-67.477,10.9,3,0.0,179,0.9,0,53.12688340828235,113.25061929659508,35.75133168742554,35.75133168742554,0
2022,5,29,19,12,32.5,L,-54.695,-69.211,20.0,1,0.0,360,2.5,0,59.66785405797597,140.64226318309298,132.02577574761756,59.66785405797597,0
2022,6,23,17,13,7.6,R,-57.463,-66.509,15.8,5,0.5,181,3.5,0,316.5721104276031,416.10115712971174,330.2611268652677,316.5721104276031,0
2022,6,28,6,26,37.2,R,-52.612,-72.233,20.0,7,1.1,223,3.0,0,355.9296338895319,329.3160993062859,395.8512936917679,329.3160993062859,0
2022,6,28,6,33,21.7,R,-52.712,-72.35,20.6,7,0.8,229,3.2,0,353.9568430222721,332.00073366861005,396.3040246387476,332.00073366861005,0
2022,6,29,7,38,0.1,L,-54.535,-69.269,10.4,4,0.3,248,2.3,0,69.04541074853579,131.5103785639123,134.62338687955648,69.04541074853579,0
2022,6,29,11,57,15.2,L,-54.531,-69.641,6.1,4,0.2,227,2.1,0,91.4463670878771,150.87360145164948,158.7074362290327,91.4463670878771,0
2022,7,4,11,1,39.5,R,-53.734,-63.953,8.0,7,0.5,177,3.4,0,307.2702450853128,247.78828381543934,229.00420273651827,229.00420273651827,0
2022,7,4,11,25,29.0,R,-52.337,-72.554,13.6,5,0.4,243,3.2,0,393.03043126304846,362.5866718496781,431.3706045774021,362.5866718496781,0
2022,7,8,6,2,1.2,L,-54.608,-69.475,3.6,4,0.3,258,2.3,0,78.57224697262137,147.00783292675874,148.13218721745716,78.57224697262137,0
2022,7,11,12,53,43.8,L,-54.518,-69.645,8.2,3,0.2,226,2.1,0,92.18905184278479,150.32146475073745,158.9884845708115,92.18905184278479,0
2022,7,13,13,3,11.1,R,-54.581,-69.518,1.5,3,0.0,227,2.7,0,82.11538991559276,147.42838031684425,150.7950881536973,82.11538991559276,0
2022,7,17,12,23,3.6,R,-59.94,-57.415,115.0,6,0.2,308,3.9,0,867.9041528052262,927.2713989752397,842.5590065110337,842.5590065110337,0
2022,7,20,7,11,18.4,L,-54.626,-66.374,14.3,3,0.1,307,2.9,0,125.8497022538913,127.66881961224071,54.02138225775773,54.02138225775773,0
2022,7,22,18,51,40.5,R,-57.977,-63.805,0.0,4,0.6,285,3.6,0,449.4352207670999,526.3578017303881,438.13101426647336,438.13101426647336,0
2022,7,22,22,51,42.0,L,-54.62,-69.47,1.6,4,0.2,229,2.6,0,77.89387408847709,147.57396162573295,147.8809894842686,77.89387408847709,0
2022,7,22,22,53,12.1,L,-54.566,-69.466,8.3,3,0.5,224,2.7,0,79.47169774980713,143.7285238657754,147.3954647951706,79.47169774980713,0
2022,8,1,20,21,22.0,L,-54.516,-69.639,10.0,3,0.3,226,2.3,0,91.90426069409804,149.87395467933894,158.6045691335033,91.90426069409804,0
2022,8,4,10,31,1.1,L,-54.564,-69.522,11.6,4,0.1,226,2.1,0,82.96168736298765,146.53341524071482,151.01373273108837,82.96168736298765,0
2022,8,5,7,42,35.9,L,-54.48,-69.56,6.1,4,0.2,220,2.1,0,88.71423193579285,143.41147232017494,153.62491365654287,88.71423193579285,0
2022,8,5,18,20,53.5,L,-54.656,-66.837,15.7,3,0.1,290,1.5,0,95.83117647464597,112.15827299980671,27.28329027942318,27.28329027942318,0
2022,8,7,15,7,58.2,L,-53.367,-66.869,18.6,4,0.1,260,2.0,0,185.23503879934046,72.74438117848315,130.2030920903529,72.74438117848315,0
2022,8,7,18,43,15.0,L,-54.455,-69.614,5.2,3,0.1,220,1.8,0,93.05797662188746,144.98731019117503,157.275395487528,93.05797662188746,0
2022,8,8,10,24,36.5,L,-52.737,-66.701,32.1,3,0.3,283,2.2,0,252.92111177857618,134.91274069684775,201.2133053108259,134.91274069684775,0
2022,8,9,18,15,47.0,R,-54.859,-69.643,16.7,3,0.0,251,2.3,0,86.34630025978178,173.32918762856517,162.5970962915033,86.34630025978178,0
2022,8,13,6,7,31.4,R,-54.917,-69.645,29.2,3,0.0,255,2.4,0,87.12595596462523,177.86136001934545,164.22448839198444,87.12595596462523,0
2022,8,18,3,45,19.5,R,-54.325,-54.445,7.1,7,0.4,301,4.1,1,896.5355956420188,869.4193896493883,826.4007610571366,826.4007610571366,0
